Orden,Nombre,Anime,Categoria,Imagen Actual,Sugerir Imagen,Estado
1,"Monkey D. Luffy","ONE PIECE",MELEE,"images/Monkey_D_Luffy.png","images/Monkey_D_Luffy.png",Existe
2,"Sanji","ONE PIECE",MELEE,"images/Sanji.png","images/Sanji.png",Existe
3,"Yuji Itadori","Jujutsu Kaisen",MELEE,"images/Yuji_Itadori.png","images/Yuji_Itadori.png",Existe
4,"Aoi Todo","JUJUTSU KAISEN",MELEE,"images/Aoi_Todo.png","images/Aoi_Todo.png",Existe
5,"Maki Zenin","JUJUTSU KAISEN",MELEE,"images/Maki_Zenin.png","images/Maki_Zenin.png",Existe
6,"Toji Fushiguro","JUJUTSU KAISEN Season 2",MELEE,"images/Toji_Fushiguro.png","images/Toji_Fushiguro.png",Existe
7,"Naoya Zenin","JUJUTSU KAISEN",MELEE,"images/Naoya_Zenin.png","images/Naoya_Zenin.png",Existe
8,"Naruto Uzumaki","Naruto",MELEE,"images/Naruto_Uzumaki.png","images/Naruto_Uzumaki.png",Existe
9,"Rock Lee","Naruto",MELEE,"images/Rock_Lee.png","images/Rock_Lee.png",Existe
10,"Son Goku","Dragon Ball Z",MELEE,"images/Son_Goku.png","images/Son_Goku.png",Existe
11,"Vegeta","Dragon Ball Z",MELEE,"images/Vegeta.png","images/Vegeta.png",Existe
12,"Broly","Dragon Ball Super: Broly",MELEE,"images/Broly.png","images/Broly.png",Existe
13,"Gohan","Dragon Ball Z",MELEE,"images/Gohan.png","images/Gohan.png",Existe
14,"Piccolo","Dragon Ball Z",MELEE,"images/Piccolo.png","images/Piccolo.png",Existe
15,"Gon Freecss","Hunter x Hunter (2011)",MELEE,"images/Gon_Freecss.png","images/Gon_Freecss.png",Existe
16,"Killua Zoldyck","Hunter x Hunter (2011)",MELEE,"images/Killua_Zoldyck.png","images/Killua_Zoldyck.png",Existe
17,"Genos","One-Punch Man",MELEE,"images/Genos.png","images/Genos.png",Existe
18,"Saitama","One-Punch Man",MELEE,"images/Saitama.png","images/Saitama.png",Existe
19,"Garou","One-Punch Man",MELEE,"images/Garou.png","images/Garou.png",Existe
20,"Baki Hanma","BAKI",MELEE,"images/Baki_Hanma.png","images/Baki_Hanma.png",Existe
21,"Yujiro Hanma","BAKI",MELEE,"images/Yujiro_Hanma.png","images/Yujiro_Hanma.png",Existe
22,"Mori Jin","The God of High School",MELEE,"images/Mori_Jin.png","images/Mori_Jin.png",Existe
23,"Han Daewi","The God of High School",MELEE,"images/Han_Daewi.png","images/Han_Daewi.png",Existe
24,"Denji","Chainsaw Man",MELEE,"images/Denji.png","images/Denji.png",Existe
25,"Power","Chainsaw Man",MELEE,"images/Power.png","images/Power.png",Existe
26,"Shinra Kusakabe","Fire Force",MELEE,"images/Shinra_Kusakabe.png","images/Shinra_Kusakabe.png",Existe
27,"Akaza","Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",MELEE,"images/Akaza.png","images/Akaza.png",Existe
28,"Ban","The Seven Deadly Sins",MELEE,"images/Ban.png","images/Ban.png",Existe
29,"All Might","My Hero Academia",MELEE,"images/All_Might.png","images/All_Might.png",Existe
30,"Izuku Midoriya","My Hero Academia",MELEE,"images/Izuku_Midoriya.png","images/Izuku_Midoriya.png",Existe
31,"Mirko","My Hero Academia Season 4",MELEE,"images/Mirko.png","images/Mirko.png",Existe
32,"Eren Yeager","Attack on Titan",MELEE,"images/Eren_Yeager.png","images/Eren_Yeager.png",Existe
33,"Joseph Joestar","JoJo's Bizarre Adventure (TV)",MELEE,"images/Joseph_Joestar.png","images/Joseph_Joestar.png",Existe
34,"Jonathan Joestar","JoJo's Bizarre Adventure (TV)",MELEE,"images/Jonathan_Joestar.png","images/Jonathan_Joestar.png",Existe
35,"DIO","JoJo's Bizarre Adventure (TV)",MELEE,"images/DIO.png","images/DIO.png",Existe
36,"Yujiro Hanma","BAKI",MELEE,"images/Yujiro_Hanma.png","images/Yujiro_Hanma.png",Existe
37,"Benimaru Shinmon","Fire Force",MELEE,"images/Benimaru Shinmon.png","images/Benimaru_Shinmon.png",Falta
38,"Kaneki","Tokyo Ghoul",MELEE,"images/kaneki.png","images/Kaneki.png",Existe
39,"Eto","Tokyo Ghoul",MELEE,"images/ETO.png","images/Eto.png",Existe
